,Name,Price,Offer
0, Apple iPhone 15 128GB Blue ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹68,490.00</span>","<span class=""jm-badge""> 13% OFF </span>"
1," Apple iPhone 13 128 GB, Midnight (Black) ","<span class=""jm-heading-xxs jm-mb-xxs"">₹50,490.00</span>","<span class=""jm-badge""> 15% OFF </span>"
2," ProElite Keyboard case for Samsung Galaxy Tab S9 FE 10.9 inch, Magnetic Detachable Wireless Bluetooth Keyboard Built-in 7-Colors Backlit, Dark Blue ","<span class=""jm-heading-xxs jm-mb-xxs"">₹2,743.00</span>","<span class=""jm-badge""> 45% OFF </span>"
3," Apple iPhone 13 128 GB, Starlight ","<span class=""jm-heading-xxs jm-mb-xxs"">₹50,490.00</span>","<span class=""jm-badge""> 15% OFF </span>"
4, Apple iPhone 15 128GB Black ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹68,490.00</span>","<span class=""jm-badge""> 13% OFF </span>"
5," POCO M6 5G 128 GB, 6 GB RAM, Blue, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹9,600.00</span>","<span class=""jm-badge""> 31% OFF </span>"
6," OnePlus Nord CE 3 Lite 5G 256 GB, 8 GB RAM, Chromatic Gray, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹17,250.00</span>","<span class=""jm-badge""> 21% OFF </span>"
7," JioDive VR Headset Immersive 360 Degree Viewing Experience Live Sports, Movies, TV Shows & Live TV Channels VR Games & YouTube 360 Supports 4.7-6.7 inch Android & iOS Phones Black ","<span class=""jm-heading-xxs jm-mb-xxs"">₹1,399.00</span>","<span class=""jm-badge""> 44% OFF </span>"
8," POCO M6 5G 128 GB, 6 GB RAM, Black, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹9,600.00</span>","<span class=""jm-badge""> 31% OFF </span>"
9," POCO M6 5G, 4GB RAM, 64GB ROM, Orion Blue, Smartphone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹8,290.00</span>","<span class=""jm-badge""> 30% OFF </span>"
10," Samsung Galaxy F15 5G 128 GB, 6 GB RAM, Green, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹14,499.00</span>","<span class=""jm-badge""> 19% OFF </span>"
11, G2L Down Price Car Mount Holder 360 Degree Rotation Dual Purpose Reusable Car Mobile Holder Compatible with All Smartphones Mobile Holder ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹249.00</span>","<span class=""jm-badge""> 72% OFF </span>"
